City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
54,Krasnokamensk,RU,2022-07-28 19:31:48,50.0979,118.0369,57.36,72,0,1.16,clear sky,0,0
55,Poum,NC,2022-07-28 19:31:48,-20.2333,164.0167,70.99,76,5,10.11,clear sky,0,0
56,Sao Joao Da Barra,BR,2022-07-28 19:31:49,-21.6403,-41.0511,78.89,79,51,18.97,broken clouds,0,0
57,Santiago Del Estero,AR,2022-07-28 19:31:49,-27.7951,-64.2615,67.26,37,38,16.82,scattered clouds,0,0
58,Raton,US,2022-07-28 19:31:49,36.9034,-104.4391,70.41,68,100,5.75,overcast clouds,0,0
59,Busselton,AU,2022-07-28 19:31:50,-33.65,115.3333,59.81,83,100,18.52,overcast clouds,0,0
60,Barrow,US,2022-07-28 19:31:51,71.2906,-156.7887,33.4,99,100,12.33,light snow,0,0
61,Saldanha,ZA,2022-07-28 19:27:41,-33.0117,17.9442,59.05,89,20,11.59,few clouds,0,0
62,Leander,US,2022-07-28 19:27:28,30.5788,-97.8531,99.75,42,18,10.0,few clouds,0,0
63,Luderitz,NA,2022-07-28 19:31:53,-26.6481,15.1594,54.52,86,60,2.68,broken clouds,0,0
64,Puerto Ayora,EC,2022-07-28 19:31:54,-0.7393,-90.3518,78.76,89,77,10.0,broken clouds,0,0
65,Ilulissat,GL,2022-07-28 19:31:56,69.2167,-51.1,50.02,66,40,5.75,scattered clouds,0,0
66,Sitka,US,2022-07-28 19:27:52,57.0531,-135.33,58.89,88,100,3.44,mist,0,0
67,Surovikino,RU,2022-07-28 19:31:58,48.6078,42.8486,80.44,43,38,6.46,scattered clouds,0,0
68,Mahebourg,MU,2022-07-28 19:30:29,-20.4081,57.7,70.25,78,75,6.91,broken clouds,0,0
69,Sorland,NO,2022-07-28 19:31:59,67.667,12.6934,53.46,75,51,14.03,broken clouds,0,0
70,Gondar,ET,2022-07-28 19:31:59,12.6,37.4667,57.6,93,100,5.44,moderate rain,0,0
71,Iranshahr,IR,2022-07-28 19:32:00,27.2025,60.6848,88.14,51,20,6.91,few clouds,0,0
72,Carnarvon,AU,2022-07-28 19:29:20,-24.8667,113.6333,69.53,57,100,3.4,light rain,0,0
