City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Hermon,US,86.32,few clouds,44.8101,-68.9134,Pumpkin Patch RV Resort
290,Iralaya,HN,83.25,broken clouds,15.0,-83.2333,Iglesia morava renovada
300,Uarini,BR,88.41,broken clouds,-2.99,-65.1083,
303,Hami,CN,86.86,scattered clouds,42.8,93.45,Laoyutang Resort
311,Gazli,UZ,87.39,few clouds,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
317,Garowe,SO,81.86,clear sky,8.4054,48.4845,Curubo Hotel
319,Morant Bay,JM,85.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
320,Lompoc,US,86.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
325,Alghero,IT,78.89,clear sky,40.5589,8.3181,Smy Carlos V Alghero
328,Mulki,IN,79.88,scattered clouds,13.1,74.8,Karnire Camping Ground
330,Linguere,SN,87.58,scattered clouds,15.3953,-15.1193,AYO Casablanca
338,Sur,OM,82.51,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
339,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
340,Acarau,BR,81.1,broken clouds,-2.8856,-40.12,castelo pizzaria
342,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
344,Daura,NG,78.35,light rain,11.5538,11.4085,
347,Bac Lieu,VN,80.29,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
349,Lazaro Cardenas,MX,85.66,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
358,Darapidap,PH,78.96,overcast clouds,17.2131,120.4114,Candon Beach Resort
360,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
362,Kailua,US,83.61,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
363,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
369,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,hotel la terminal
370,Qandala,SO,89.04,clear sky,11.472,49.8728,
372,Aden,YE,86.85,few clouds,12.7794,45.0367,Sama Emirate Hotel
373,Ugoofaaru,MV,81.55,broken clouds,5.6667,73.0,Ungoofaaru Inn
375,Jodhpur,IN,83.61,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
380,Bonnyville,CA,83.52,clear sky,54.2668,-110.735,Best Western Bonnyville Inn & Suites
381,Arlit,NE,86.63,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
382,Jibuti,DJ,87.37,light rain,11.5,42.5,Orchid Main Camp Goubet
385,Tecoanapa,MX,85.37,few clouds,16.5167,-98.75,Hotel Manglares
387,Parvatsar,IN,80.58,overcast clouds,26.8833,74.7667,Shree Hotel
394,Unity,CA,81.25,clear sky,52.4501,-109.1682,Greenhead Motel & RV Park
398,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
399,Abeche,TD,80.83,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
400,Brejo Santo,BR,89.83,few clouds,-7.4933,-38.9872,Hotel Flor de Lis
403,Half Moon Bay,US,82.58,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
410,Simoes,BR,85.71,clear sky,-7.5989,-40.8178,Hotel Ponto Certo
411,Namatanai,PG,79.48,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
415,Basco,PH,85.3,broken clouds,20.4487,121.9702,Nathaniel's Lodge
416,Panama City,PA,82.35,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
418,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
419,Le Lorrain,MQ,85.95,clear sky,14.8329,-61.0567,Ti'coin Paradis
422,Silifke,TR,84.78,clear sky,36.3778,33.9344,Ayatekla Hotel
424,Cacule,BR,78.21,clear sky,-14.5033,-42.2222,"Radar Palace Hotel: Suítes, Apartamentos, Hospedagem em Caculé BA"
427,Douglas,US,83.59,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
446,Sorrento,IT,82.53,clear sky,40.626,14.3744,Hilton Sorrento Palace
450,Bacungan,PH,80.53,light rain,9.9106,118.7022,Sumayang Property
459,Cabra,ES,84.47,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
460,Guinguineo,SN,83.25,scattered clouds,14.2667,-15.95,
467,Panacan,PH,80.47,overcast clouds,9.2463,118.4082,Mom's Place Resort
468,Sheopur,IN,81.39,overcast clouds,25.6667,76.7,Shri Ram Dharmshala
475,Halifax,CA,82.29,few clouds,44.6453,-63.5724,Hotel Halifax
484,Jalu,LY,88.12,clear sky,29.0331,21.5482,صاحبة الفخامة
487,Coaldale,CA,85.68,few clouds,49.7167,-112.6185,Station Grounds: A Manufactured Housing Community
493,Yashalta,RU,78.69,scattered clouds,46.3395,42.2762,
498,Santa Cruz,BO,87.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
499,Salinas,US,83.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
501,Moctezuma,MX,88.23,scattered clouds,29.8,-109.6667,Hotel Lobohombo
504,Pacific Grove,US,82.22,scattered clouds,36.6177,-121.9166,Lovers Point Inn
506,Norfolk,US,88.12,scattered clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
525,Maiduguri,NG,80.69,light rain,11.8464,13.1603,Kagel Mari Police Station
529,Alugan,PH,79.14,moderate rain,12.2188,125.4808,JM Lodge
531,Oranjestad,AW,87.75,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
533,Yataity Del Norte,PY,86.95,overcast clouds,-24.8333,-56.35,Quincho C&C
